epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.76489,2.32776,2.10873,2.35135,0.44032,0.35868,0.33551,0.09311,2.67116,2.45457,2.68965,0.000542437,0.000542437,0.000542437
2,19.3333,1.45937,1.49323,1.79253,0.52048,0.56142,0.51545,0.20626,1.94132,1.86902,2.04284,0.00107636,0.00107636,0.00107636
3,28.6799,1.25801,1.32207,1.62446,0.63062,0.63875,0.64922,0.3766,1.6235,1.64551,1.85901,0.00158828,0.00158828,0.00158828
4,37.8849,1.16165,1.2435,1.53151,0.71458,0.63298,0.66778,0.42474,1.52359,1.62486,1.75132,0.00156798,0.00156798,0.00156798
5,47.1192,1.12997,1.20577,1.4946,0.65941,0.66364,0.66754,0.43025,1.47645,1.5413,1.72624,0.00153497,0.00153497,0.00153497
6,56.3596,1.07049,1.14649,1.45255,0.69082,0.71119,0.71237,0.46552,1.48261,1.52319,1.69688,0.00150197,0.00150197,0.00150197
7,65.7625,1.04011,1.11621,1.41375,0.7275,0.71638,0.72567,0.49725,1.37014,1.45729,1.61839,0.00146896,0.00146896,0.00146896
8,75.2822,1.00143,1.07149,1.38243,0.74312,0.67698,0.72073,0.46697,1.37819,1.49263,1.5928,0.00143595,0.00143595,0.00143595
9,84.7385,0.99688,1.06774,1.38586,0.72028,0.6884,0.71599,0.49816,1.32104,1.42783,1.56208,0.00140295,0.00140295,0.00140295
10,93.9337,0.98084,1.03661,1.34841,0.76124,0.67751,0.72571,0.48397,1.35623,1.4924,1.60316,0.00136994,0.00136994,0.00136994
11,103.178,0.96761,1.02846,1.34008,0.71545,0.70559,0.72375,0.48836,1.28689,1.4496,1.53924,0.00133693,0.00133693,0.00133693
12,112.444,0.95091,1.00811,1.33954,0.72547,0.7046,0.74154,0.50327,1.27565,1.43598,1.50701,0.00130393,0.00130393,0.00130393
13,121.883,0.92362,0.9763,1.30771,0.73252,0.72091,0.74269,0.51978,1.25485,1.42732,1.50825,0.00127092,0.00127092,0.00127092
14,131.178,0.90717,0.97376,1.30484,0.70618,0.71604,0.71693,0.49878,1.32076,1.45154,1.55173,0.00123791,0.00123791,0.00123791
15,140.433,0.93499,0.97966,1.31395,0.73398,0.71725,0.72966,0.49115,1.30599,1.47123,1.5195,0.00120491,0.00120491,0.00120491
16,149.741,0.90912,0.95456,1.29943,0.71588,0.69334,0.72054,0.49059,1.32685,1.50218,1.56319,0.0011719,0.0011719,0.0011719
17,159.097,0.88439,0.92869,1.28378,0.72211,0.67739,0.72121,0.52195,1.28299,1.4695,1.5368,0.00113889,0.00113889,0.00113889
18,168.36,0.88303,0.92544,1.27321,0.71558,0.6785,0.72231,0.50992,1.33479,1.56154,1.55443,0.00110589,0.00110589,0.00110589
19,177.613,0.87713,0.92058,1.26427,0.75544,0.70938,0.74993,0.52301,1.27728,1.41965,1.52592,0.00107288,0.00107288,0.00107288
20,186.872,0.85385,0.90045,1.25159,0.72512,0.70991,0.72651,0.51273,1.22907,1.42721,1.48779,0.00103987,0.00103987,0.00103987
21,196.231,0.84907,0.8915,1.25211,0.76997,0.70105,0.7426,0.52264,1.24937,1.41729,1.50541,0.00100687,0.00100687,0.00100687
22,205.478,0.8402,0.8897,1.24426,0.72692,0.7092,0.73453,0.52308,1.2861,1.3945,1.50576,0.000973861,0.000973861,0.000973861
23,214.78,0.81707,0.85983,1.23058,0.74051,0.71801,0.74215,0.52626,1.22866,1.3773,1.49911,0.000940855,0.000940855,0.000940855
