epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0213,1.3421,4.58041,2.60781,1.57587,0.01682,0.85192,0.42988,0.21623,0.01411,0.74429,0.2205,0.06372,1.52293,4.6751,2.78058,1.67317,0.000542437,0.000542437,0.000542437
2,73.1204,1.35208,3.83684,1.84782,1.61405,0.50734,0.44643,0.45252,0.20597,0.11701,0.13193,0.0575,0.01729,1.84725,6.06394,2.15967,2.079,0.00107636,0.00107636,0.00107636
3,100.653,1.34309,3.82078,1.6842,1.61626,0.4547,0.46177,0.42071,0.17166,0.28741,0.28578,0.19202,0.05732,1.76418,4.21688,2.26339,2.09454,0.00158828,0.00158828,0.00158828
4,131.462,1.32432,3.78407,1.64376,1.60571,0.48131,0.61195,0.5258,0.27241,0.20969,0.31572,0.15527,0.04757,1.70803,5.05564,2.78159,1.97583,0.00156798,0.00156798,0.00156798
5,160.199,1.27304,3.71476,1.58447,1.56918,0.25871,0.41818,0.22564,0.10648,0.19167,0.33339,0.15329,0.05181,1.84719,3.65536,2.32094,2.03195,0.00153497,0.00153497,0.00153497
6,188.537,1.25548,3.62079,1.53113,1.5448,0.57786,0.58572,0.5716,0.33746,0.40069,0.42704,0.31652,0.11517,1.64067,4.24085,2.22887,1.82222,0.00150197,0.00150197,0.00150197
7,219.029,1.20826,3.67051,1.49053,1.51116,0.65533,0.57754,0.63546,0.39114,0.42526,0.42523,0.327,0.11989,1.55021,3.49173,1.99433,1.73849,0.00146896,0.00146896,0.00146896
8,246.516,1.18708,3.56417,1.46475,1.50236,0.61707,0.65029,0.66667,0.4029,0.50479,0.49178,0.42944,0.16501,1.53049,3.4409,1.94926,1.7634,0.00143595,0.00143595,0.00143595
9,277.466,1.17573,3.55347,1.4267,1.49624,0.72566,0.58149,0.67156,0.40263,0.54161,0.42622,0.45479,0.17303,1.59602,3.36314,1.9211,1.75585,0.00140295,0.00140295,0.00140295
10,306.653,1.16723,3.47433,1.41111,1.48618,0.62364,0.62595,0.6598,0.40591,0.43992,0.44452,0.35909,0.12467,1.49258,3.35481,1.93449,1.68342,0.00136994,0.00136994,0.00136994
11,334.988,1.15835,3.46536,1.39925,1.47611,0.69991,0.65315,0.69589,0.47007,0.52411,0.53846,0.47016,0.18514,1.41103,3.23481,1.70853,1.60807,0.00133693,0.00133693,0.00133693
12,365.329,1.12595,3.38627,1.34194,1.44865,0.6829,0.64307,0.68307,0.42007,0.525,0.49822,0.43803,0.16595,1.50504,3.18357,1.76641,1.65817,0.00130393,0.00130393,0.00130393
13,392.939,1.10292,3.40617,1.35092,1.44819,0.65353,0.66224,0.68194,0.42451,0.50838,0.49482,0.40503,0.14559,1.48702,3.48749,1.75326,1.70217,0.00127092,0.00127092,0.00127092
14,421.875,1.11414,3.38483,1.33646,1.44456,0.70699,0.65559,0.71076,0.46967,0.55482,0.52261,0.47589,0.19658,1.36992,3.1805,1.63614,1.53732,0.00123791,0.00123791,0.00123791
15,450.743,1.0866,3.30284,1.30409,1.42209,0.69573,0.67616,0.71501,0.47336,0.50213,0.56127,0.47977,0.20505,1.28024,3.26732,1.59815,1.48978,0.00120491,0.00120491,0.00120491
16,477.768,1.04711,3.28542,1.26367,1.38417,0.74168,0.60791,0.67559,0.42706,0.52388,0.46533,0.41056,0.17336,1.37872,3.1968,1.72353,1.58832,0.0011719,0.0011719,0.0011719
17,508.104,1.07605,3.23769,1.2641,1.41625,0.73733,0.67219,0.71635,0.48513,0.57999,0.51696,0.48122,0.18777,1.33138,3.28887,1.65209,1.54046,0.00113889,0.00113889,0.00113889
18,535.229,1.06167,3.26679,1.26964,1.39752,0.72774,0.66603,0.72104,0.47264,0.58118,0.53036,0.48636,0.19931,1.3388,3.17399,1.60583,1.58005,0.00110589,0.00110589,0.00110589
19,564.294,1.03846,3.18333,1.22113,1.3753,0.69673,0.68427,0.70776,0.48823,0.50996,0.52109,0.42618,0.18732,1.26243,3.30356,1.60168,1.51917,0.00107288,0.00107288,0.00107288
20,594.27,1.03072,3.17057,1.2098,1.37183,0.7537,0.6789,0.74235,0.48903,0.55563,0.5181,0.46097,0.18309,1.3155,3.09081,1.55648,1.50448,0.00103987,0.00103987,0.00103987
21,622.345,1.02441,3.14284,1.18117,1.3612,0.70436,0.67263,0.70522,0.47393,0.52215,0.49816,0.38698,0.13105,1.25266,3.42218,1.52956,1.45746,0.00100687,0.00100687,0.00100687
22,652.866,1.0134,3.17838,1.1902,1.36503,0.70586,0.69155,0.7202,0.48569,0.50534,0.51072,0.41091,0.15738,1.29723,3.257,1.56041,1.49566,0.000973861,0.000973861,0.000973861
23,681.153,1.01203,3.10914,1.16684,1.3694,0.72852,0.696,0.72116,0.49286,0.53773,0.53872,0.442,0.18682,1.24778,3.03555,1.5236,1.49518,0.000940855,0.000940855,0.000940855
24,709.618,0.98264,3.0769,1.13503,1.34471,0.77015,0.66777,0.73825,0.51234,0.62614,0.52949,0.51475,0.22409,1.26424,3.23674,1.556,1.51177,0.000907848,0.000907848,0.000907848
25,739.06,0.96795,3.03859,1.11343,1.33432,0.71836,0.69231,0.73266,0.4745,0.54624,0.52273,0.45284,0.1814,1.35121,3.22705,1.53098,1.5198,0.000874842,0.000874842,0.000874842
26,765.921,0.97085,3.0194,1.10644,1.32298,0.76131,0.6833,0.74748,0.49065,0.54177,0.48327,0.41387,0.1644,1.26129,3.22789,1.47235,1.46227,0.000841835,0.000841835,0.000841835
